members,organization,region,state,website,lon,lat
5000 - 9999,Lynnhaven River NOW,"Virginia Beach ,VA",VA,http://www.lynnhavenrivernow.org/,-76.097987,36.903882
0 - 499,Back Creek Conservancy ,"Annapolis ,MD",MD,http://backcreekconservancy.org/bcc/,-76.491009,38.935983
500 - 999,ClearWater Conservancy,"State College ,PA",PA,http://www.clearwaterconservancy.org/,-77.921457,40.812089
1000 - 4999,Lower Susquehanna Heritage Greenway,"Darlington ,MD",MD,http://www.lshgreenway.org/,-76.17836,39.655418
0 - 499,Eastern Pennsylvania Coalition for Abandoned Mine Reclamation ,"Ashley ,PA",PA,http://www.epcamr.org,-75.903687,41.210369
1000 - 4999,Virginia Eastern Shorekeeper ,"Eastville ,VA",VA,http://www.shorekeeper.org/,-75.936077,37.349638
,Paxton Creek Watershed and Education Association,"Harrisburg ,PA",PA,http://www.paxtoncreek.org/,-77.008587,40.214256
,Middle Susquehanna Riverkeeper,"Lewisburg ,PA",PA,http://www.middlesusquehannariverkeeper.org/,-76.94126,40.956465
,Maryland Saltwater Sportsfishing Association,"Pasadena ,MD",MD,http://mssa.net/,-76.518711,39.159877
0 - 499,Dorchester Citizens for Planned Growth,"Cambridge ,MD",MD,http://dcpgonline.org/,-76.169827,38.558369
0 - 499,Friends of Beautiful Pendleton County,"Franklin ,WV",WV,,-79.331153,38.642894
0 - 499,"Sidney Center Improvement Group, Inc.","Sidney Center ,NY",NY,http://scigny.blogspot.com/,-75.255728,42.290637
,Shenandoah Riverkeeper,"Berryville ,VA",VA,http://www.waterkeeperschesapeake.com/about-us/resources/item/56-shenandoah-riverkeeper,-77.982219,39.151771
1000 - 4999,Loudoun Wildlife Conservancy ,"Purcellville ,VA",VA,http://www.loudoun.gov,-77.714715,39.136771
0 - 499,Capital Region Land Conservancy,"Richmond ,VA",VA,http://www.capitalregionland.org/,-77.573404,37.521339
0 - 499,Lackawanna River Corridor Association,"Scranton ,PA",PA,http://www.lrca.org,-75.655297,41.438241
0 - 499,Friends of the Chemung River Watershed,"Elmira ,NY",NY,http://www.chemungriverfriends.org,-76.807657,42.088008
0 - 499,Friends of Accotink Creek ,"Falls Church ,VA",VA,http://www.accotink.org,-77.222341,38.870269
0 - 499,Nanticoke Watershed Preservation Group,"Seaford ,DE",DE,http://www.nanticokewpg.com,-75.671567,38.586259
,Dundalk Renaissance Corporation,"Dundalk ,MD",MD,http://www.dundalkusa.org,-76.521815,39.257762
1000 - 4999,Friends of the Rappahannock,"Fredericksburg ,VA",VA,http://www.riverfriends.org,-77.484719,38.316668
5000 - 9999,James River Association,"Richmond ,VA",VA,http://www.jrava.org,-77.41512,37.516661
0 - 499,Prince William Conservation Alliance,"Woodbridge ,VA",VA,http://www.pwconserve.org/,-77.278474,38.675862
500 - 999,American Chestnut Land Trust,"Prince Frederick ,MD",MD,http://acltweb.org,-76.618165,38.529052
,Lancaster Farmland Trust ,"Strasburg ,PA",PA,http://www.lancasterfarmlandtrust.org/,-76.189173,39.985065
0 - 499,Sparks-Glencoe Community Planning Council ,"Sparks ,MD",MD,http://www.sgcpc.org/,-76.675922,39.549576
0 - 499,Corsica River Conservancy,"Centreville ,MD",MD,http://www.corsicariverconservancy.org/,-76.062397,39.038383
0 - 499,Groundwork Anacostia River DC,"Washington ,DC",DC,http://groundworkdc.org/,-76.9476,38.894414
0 - 499,Chesapeake BaySavers,"Annapolis ,MD",MD,http://www.chesapeakebaysavers.org,-76.505945,38.989722
0 - 499,Penns Valley Conservation Association,"Aaronsburg ,PA",PA,http://www.pennsvalley.net/,-77.453323,40.89979
0 - 499,Southeast CARE Coalition,"Newport News ,VA",VA,http://www.southeastcare.com/,-76.421598,36.972239
0 - 499,Savage River Watershed Association,"Frostburg ,MD",MD,http://www.savageriverwatershed.org,-78.928359,39.658154
1000 - 4999,Audubon Society of Northern Virginia,"Reston ,VA",VA,http://www.audubonva.org,-77.330973,38.951822
0 - 499,Warm Springs Watershed Association ,"Berkeley Springs ,WV",WV,http://warmspringswatershed.webs.com/,-78.227195,39.62699
0 - 499,Experience Learning,"Circleville ,WV",WV,http://mountain.org/where-we-work/appalachian/,-79.568554,38.674506
,Coastal Canoeists,"Richmond ,VA",VA,http://www.coastals.org/,-77.527546,37.537443
0 - 499,All From One,"Newport News ,VA",VA,,-76.419459,36.978211
0 - 499,Institute for Local Self-Reliance,"Washington ,DC",DC,http://www.islr.org,-77.045201,38.914301
500 - 999,Butternut Valley Alliance,"New Lisbon ,NY",NY,http://butternutvalleyalliance.org/,-75.205764,42.602903
0 - 499,Blue Heron Environmental Network,"Hedgesville ,WV",WV,,-78.005677,39.580436
1000 - 4999,Piedmont Environmental Council,"Warrenton ,VA",VA,http://www.pecva.org,-77.793159,38.71417
0 - 499,Conodoguinet Creek Watershed Association,"Mechanicsburg ,PA",PA,http://www.cumberlandcd.com/~amcclain/ccwa/,-76.997522,40.270175
0 - 499,Cacapon Institute,"Great Cacapon ,WV",WV,http://www.cacaponinstitute.org,-78.361467,39.539315
50000 +,Maryland Academy of Science at the Maryland Science Center,"Baltimore ,MD",MD,http://www.marylandsciencecenter.org,-76.611884,39.281256
0 - 499 ,Alliance for Sustainable Communities,"Edgewater ,MD",MD,http://www.beinginplace.org,-76.549762,38.926217
,Peach Bottom Concerned Citizens Group,"Delta  ,PA",PA,,-76.326625,39.727049
0 - 499,Alliance for Aquatic Resource Monitoring (ALLARM),"Carlisle ,PA",PA,http://citizensci.com,-77.197444,40.204127
,Friends of Shenandoah River,"Winchester ,VA",VA,http://fosr.org/,-78.158327,39.166019
1000 - 4999,Otsego Land Trust,"Cooperstown ,NY",NY,http://otsegolandtrust.org/,-74.925263,42.700009
1000 - 4999,Eastern Shore Land Conservancy,"Easton ,MD",MD,http://www.eslc.org,-76.075692,38.771613
,Rockfish Valley Foundation,"Nellysford ,VA",VA,http://www.rockfishvalley.org,-78.873365,37.889754
1000 - 4999,West Virginia Highlands Conservancy,"Charleston ,WV",WV,http://www.wvhighlands.org,-81.65908,38.14183
,Clean Bread and Cheese Creek,"Dundalk ,MD",MD,http://breadandcheesecreek.org/,-76.502503,39.281884
0 - 499,Friends of the North Fork of the Shenandoah River,"Woodstock ,VA",VA,http://www.fnfsr.org,-78.505842,38.881778
0 - 499,Severn River Association,"Annapolis ,MD",MD,http://www.severnriver.org/,-76.49,38.979999
1000 - 4999,Mattawoman Watershed Society,"Bryans Road ,MD",MD,http://mattawomanwatershedsociety.org,-77.085225,38.628676
0 - 499,Talbot Preservation Alliance,"Easton ,MD",MD,http://www.talbotpreservation.org/,-76.080489,38.778371
0 - 499,Sleepy Creek Watershed Association,"Berkeley Springs ,WV",WV,http://www.sleepycreekwatershedassociation.org/,-78.270202,39.493803
0 - 499,Surfrider Foundation - DC Chapter,"Washington ,DC",DC,https://dc.surfrider.org/,-77.419075,39.159867
,Countryside Conservancy,"LaPlume ,PA",PA,http://www.countrysideconservancy.org,-75.75527,41.556716
500 - 999,Friends of Sligo Creek,"Takoma Park ,MD",MD,http://www.fosc.org/,-77.01,38.979999
0 - 499,Earth Conservation Corps,"Washington ,DC",DC,http://www.earthconservationcorps.org/,-77.010663,38.872024
1000 - 4999,Western Clinton Sportsmen's Association,"Renovo ,PA",PA,http://www.wcsarenovo.org/,-77.75082,41.326455
0 - 499,Chapman Forest Foundation,"Bryans Road ,MD",MD,,-77.09098,38.655109
1000 - 4999,Adkins Arboretum,"Ridgely ,MD",MD,http://www.adkinsarboretum.org/,-75.88825,38.965967
0 - 499,Friends of the Middle River,"Verona ,VA",VA,http://www.friendsofthemiddleriver.org/,-79.008361,38.202075
0 - 499,Blue Ridge Watershed Coalition,"Jefferson  ,WV",WV,http://www.blueridgewatershed.org/,-77.797021,39.245647
0 - 499,Friends of Shenandoah Mountain,"Harrisonburg ,VA",VA,http://www.friendsofshenandoahmountain.org/,-78.868916,38.449569
,Southern Maryland Audubon Society,"Bryans Road ,MD",MD,http://somdaudubon.org/,-77.085226,38.628676
0 - 499,Citizens to Conserve and Restore Indian Creek,"Greenbelt ,MD",MD,http://ccric.org/,-122.321369,47.197124
0 - 499,Friends of the Nanticoke River,"Nanticoke ,MD",MD,http://www.friendsofthenanticoke.org/index.htm,-75.905567,38.272706
500 - 999,Muddy Branch Alliance,"Gaithersburg ,MD",MD,,-77.230389,39.106276
0 - 499,Rivertown Coalition for Clean Air and Clean Water,"Selinsgrove ,PA",PA,,-76.8621935,40.7989735
500 - 9999,Action Together Northeastern Pennsylvania,"Mountain Top ,PA",PA,,-75.877419,41.1695269
0 - 499,Port Tobacco River Conservancy ,"Port Tobacco ,MD",MD,,-77.018833,38.5113836
0 - 499,Annapolis Green ,"Annapolis ,MD",MD,,-76.4903925,38.9796208
0 - 499,ShoreRivers,"Easton ,MD",MD,,-76.0756079,38.7714883
